,Track,Artist
1,"  The Box
",Roddy Ricch
2,"  That Way
",Lil Uzi Vert
3,"  Commercial (feat. Lil Uzi Vert)
",Lil Baby
4,"  Heatin Up
",Lil Baby & Gunna
5,"  Blinding Lights
",The Weeknd
6,"  Life Is Good (feat. Drake)
",Future
7,"  La Difícil
",Bad Bunny
8,"  Si Veo a Tu Mamá
",Bad Bunny
9,"  Emotionally Scarred
",Lil Baby
10,"  Woah
",Lil Baby
11,"  Sum 2 Prove
",Lil Baby
12,"  Live Off My Closet (feat. Future)
",Lil Baby
13,"  Intentions (feat. Quavo)
",Justin Bieber
14,"  Grace
",Lil Baby & 42 Dugg
15,"  Dance Monkey
",Tones and I
16,"  High Fashion (feat. Mustard)
",Roddy Ricch
17,"  PTSD (feat. Chance the Rapper, Juice WRLD & Lil Uzi Vert)
",G Herbo
18,"  La Santa
",Bad Bunny & Daddy Yankee
19,"  No Sucker
",Lil Baby & Moneybagg Yo
20,"  Pero Ya No
",Bad Bunny
21,"  Yo Perreo Sola
",Bad Bunny
22,"  Don't Start Now
",Dua Lipa
23,"  Ignorantes
",Bad Bunny & Sech
24,"  Get Ugly
",Lil Baby
25,"  How
",Lil Baby
26,"  Safaera
","Bad Bunny, Jowell & Randy & Ñengo Flow"
27,"  Ballin’
",Mustard & Roddy Ricch
28,"  Yummy
",Justin Bieber
29,"  Vete
",Bad Bunny
30,"  Lil Top
",YoungBoy Never Broke Again
31,"  Forever (feat. Lil Wayne)
",Lil Baby
32,"  Numbers (feat. Roddy Ricch, Gunna and London On Da Track)
",A Boogie wit da Hoodie
33,"  Say So
",Doja Cat
34,"  Stupid Love
",Lady Gaga
35,"  Same Thing
",Lil Baby
36,"  Bichiyal
",Bad Bunny & Yaviah
37,"  Circles
",Post Malone
38,"  ROXANNE
",Arizona Zervas
39,"  Dior
",Pop Smoke
40,"  everything i wanted
",Billie Eilish
41,"  We Should
",Lil Baby & Young Thug
42,"  Adore You
",Harry Styles
43,"  OUT WEST (feat. Young Thug)
",JACKBOYS & Travis Scott
44,"  Soliá
",Bad Bunny
45,"  Go Stupid
","Polo G, Stunna 4 Vegas, NLE Choppa & Mike WiLL Made-It"
46,"  BOP
",DaBaby
47,"  After Hours
",The Weeknd
48,"  Godzilla (feat. Juice WRLD)
",Eminem
49,"  Blueberry Faygo
",Lil Mosey
50,"  bad guy
",Billie Eilish
51,"  Moral of the Story
",Ashe
52,"  Está C****n Ser Yo
",Bad Bunny & Anuel AA
53,"  Someone You Loved
",Lewis Capaldi
54,"  Can't Explain
",Lil Baby
55,"  25/8
",Bad Bunny
56,"  Qué Malo
",Bad Bunny & Ñengo Flow
57,"  A Tu Merced
",Bad Bunny
58,"  La Zona
",Bad Bunny
59,"  Falling
",Trevor Daniel
60,"  Catch the Sun (From ""Queen & Slim: The Soundtrack"")
",Lil Baby
61,"  Red Eye
",YoungBoy Never Broke Again
62,"  Me and My Guitar
",A Boogie wit da Hoodie
63,"  Shake the Room (feat. Quavo)
",Pop Smoke
64,"  No Time To Die
",Billie Eilish
65,"  VIBEZ
",DaBaby
66,"  Memories
",Maroon 5
67,"  Una Vez
",Bad Bunny & Mora
68,"  You should be sad
",Halsey
69,"  WHATS POPPIN
",Jack Harlow
70,"  Consistent
",Lil Baby
71,"  Tusa
",KAROL G & Nicki Minaj
72,"  Bandit
",Juice WRLD & YoungBoy Never Broke Again
73,"  Heartless
",The Weeknd
74,"  Sunday Best
",Surfaces
75,"  Start wit Me (feat. Gunna)
",Roddy Ricch
76,"  Before You Go
",Lewis Capaldi
77,"  No Guidance (feat. Drake)
",Chris Brown
78,"  Forget That
",Lil Baby & Rylo Rodriquez
79,"  P*$$Y Fairy (OTW)
",Jhené Aiko
80,"  Physical
",Dua Lipa
81,"  Fine By Time
",YoungBoy Never Broke Again
82,"  Sunflower (Spider-Man: Into the Spider-Verse)
",Post Malone & Swae Lee
83,"  HIGHEST IN THE ROOM
",Travis Scott
84,"  Forever (feat. Post Malone & Clever)
",Justin Bieber
85,"  Gang Signs
",Lil Baby
86,"  Make No Sense
",YoungBoy Never Broke Again
87,"  P FKN R
","Bad Bunny, Kendo Kaponi & Arcángel"
88,"  Knocked Off
",YoungBoy Never Broke Again
89,"  Suicidal
",YNW Melly
90,"  TOES (feat. Lil Baby & Moneybagg Yo)
",DaBaby
91,"  Baby
","Quality Control, Lil Baby & DaBaby"
92,"  My Oh My (feat. DaBaby)
",Camila Cabello
93,"  Hurtin
",Lil Baby
94,"  ON
",BTS
95,"  The Other Side
",SZA & Justin Timberlake
96,"  Solid
",Lil Baby
97,"  To Die For
",Sam Smith
98,"  Glass in the Face (feat. A Boogie wit da Hoodie)
",G Herbo
99,"  Puesto Pa' Guerrial
",Bad Bunny & Myke Towers
100,"  Roses (Imanbek Remix)
",SAINt JHN
